;j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
0;1.0;320.3;5.2;172.0;1.0;1.0;1.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;
1;2.0;303.7;4.5;159.5;1.0;1.0;1.0;1.0;1;;;;;;;;;;;;;;;;;;;;;;
2;3.0;321.7;3.8;145.0;1.0;1.0;1.0;1.0;2;;;;;;;;;;;;;;;;;;;;;;
3;4.0;354.0;3.0;129.0;1.0;1.0;1.0;1.0;3;;;;;;;;;;;;;;;;;;;;;;
4;5.0;401.9;1.4;129.0;1.0;1.0;1.0;1.0;4;;;;;;;;;;;;;;;;;;;;;;
5;6.0;431.5;0.8;129.0;1.0;1.0;1.0;1.0;5;;;;;;;;;;;;;;;;;;;;;;
6;7.0;427.0;0.2;129.0;1.0;1.0;1.0;1.0;6;;;;;;;;;;;;;;;;;;;;;;
7;8.0;414.9;0.8;129.0;1.0;1.0;1.0;1.0;7;;;;;;;;;;;;;;;;;;;;;;
8;9.0;412.3;1.6;129.0;1.0;1.0;1.0;1.0;8;;;;;;;;;;;;;;;;;;;;;;
9;10.0;414.8;2.9;159.5;1.0;1.0;1.0;1.0;9;;;;;;;;;;;;;;;;;;;;;;
10;11.0;385.5;4.4;162.9;1.0;1.0;1.0;1.0;10;;;;;;;;;;;;;;;;;;;;;;
11;12.0;350.8;5.7;173.0;1.0;1.0;1.0;1.0;11;;;;;;;;;;;;;;;;;;;;;;
12;13.0;347.7;6.7;174.2;1.0;1.0;1.0;1.0;12;;;;;;;;;;;;;;;;;;;;;;
13;14.0;279.3;7.2;182.4;1.0;1.0;1.0;1.0;13;;;;;;;;;;;;;;;;;;;;;;
14;15.0;295.2;7.2;182.5;1.0;1.0;1.0;1.0;14;;;;;;;;;;;;;;;;;;;;;;
15;16.0;344.2;6.6;182.5;1.0;1.0;1.0;1.0;15;;;;;;;;;;;;;;;;;;;;;;
16;17.0;368.8;5.7;184.2;1.0;1.0;1.0;1.0;16;;;;;;;;;;;;;;;;;;;;;;
17;18.0;377.0;5.3;184.2;1.0;1.0;1.0;1.0;17;;;;;;;;;;;;;;;;;;;;;;
18;19.0;379.6;4.9;184.5;1.0;1.0;1.0;1.0;18;;;;;;;;;;;;;;;;;;;;;;
19;20.0;403.8;4.1;184.5;1.0;1.0;1.0;1.0;19;;;;;;;;;;;;;;;;;;;;;;
20;21.0;475.9;3.1;184.2;1.0;1.0;1.0;1.0;20;;;;;;;;;;;;;;;;;;;;;;
21;22.0;455.8;2.3;184.2;1.0;1.0;1.0;1.0;21;;;;;;;;;;;;;;;;;;;;;;
22;23.0;468.7;1.5;184.2;1.0;1.0;1.0;1.0;22;;;;;;;;;;;;;;;;;;;;;;
23;24.0;484.0;0.6;173.0;1.0;1.0;1.0;1.0;23;;;;;;;;;;;;;;;;;;;;;;
24;25.0;452.6;-1.7;188.4;1.0;1.0;1.0;1.0;24;;;;;;;;;;;;;;;;;;;;;;
25;26.0;435.0;-2.0;188.4;1.0;1.0;1.0;1.0;25;;;;;;;;;;;;;;;;;;;;;;
26;27.0;429.3;-2.0;188.4;1.0;1.0;1.0;1.0;26;;;;;;;;;;;;;;;;;;;;;;
27;28.0;432.0;-3.3;184.8;1.0;1.0;1.0;1.0;27;;;;;;;;;;;;;;;;;;;;;;
28;29.0;410.2;-3.6;184.8;1.0;1.0;1.0;1.0;28;;;;;;;;;;;;;;;;;;;;;;
29;30.0;411.1;-3.0;184.8;1.0;1.0;1.0;1.0;29;;;;;;;;;;;;;;;;;;;;;;
30;31.0;481.6;-4.1;188.4;1.0;1.0;1.0;1.0;30;;;;;;;;;;;;;;;;;;;;;;
31;32.0;475.4;-3.4;188.4;1.0;1.0;1.0;1.0;31;;;;;;;;;;;;;;;;;;;;;;
32;33.0;464.8;-2.4;204.9;1.0;1.0;1.0;1.0;32;;;;;;;;;;;;;;;;;;;;;;
33;34.0;446.1;-1.0;267.1;1.0;1.0;1.0;1.0;33;;;;;;;;;;;;;;;;;;;;;;
34;35.0;400.8;0.7;269.2;1.0;1.0;1.0;1.0;34;;;;;;;;;;;;;;;;;;;;;;
35;36.0;385.6;2.3;269.2;1.0;1.0;1.0;1.0;35;;;;;;;;;;;;;;;;;;;;;;
36;37.0;346.7;3.6;269.2;1.0;1.0;1.0;1.0;36;;;;;;;;;;;;;;;;;;;;;;
37;38.0;283.6;4.5;269.2;1.0;1.0;1.0;1.0;37;;;;;;;;;;;;;;;;;;;;;;
38;39.0;280.3;5.0;269.2;1.0;1.0;1.0;1.0;38;;;;;;;;;;;;;;;;;;;;;;
39;40.0;309.2;4.9;269.2;1.0;1.0;1.0;1.0;39;;;;;;;;;;;;;;;;;;;;;;
40;41.0;347.4;4.3;269.2;1.0;1.0;1.0;1.0;40;;;;;;;;;;;;;;;;;;;;;;
41;42.0;353.0;3.7;269.2;1.0;1.0;1.0;1.0;41;;;;;;;;;;;;;;;;;;;;;;
42;43.0;356.4;3.0;269.2;1.0;1.0;1.0;1.0;42;;;;;;;;;;;;;;;;;;;;;;
43;44.0;365.8;2.6;269.2;1.0;1.0;1.0;1.0;43;;;;;;;;;;;;;;;;;;;;;;
44;45.0;384.1;2.6;269.2;1.0;1.0;1.0;1.0;44;;;;;;;;;;;;;;;;;;;;;;
45;46.0;401.1;2.8;236.6;1.0;1.0;1.0;1.0;45;;;;;;;;;;;;;;;;;;;;;;
46;47.0;425.4;2.9;186.4;1.0;1.0;1.0;1.0;46;;;;;;;;;;;;;;;;;;;;;;
47;48.0;407.6;2.8;173.1;1.0;1.0;1.0;1.0;47;;;;;;;;;;;;;;;;;;;;;;
48;49.0;432.0;3.4;171.9;1.0;1.0;1.0;1.0;48;;;;;;;;;;;;;;;;;;;;;;
49;50.0;441.3;3.1;170.5;1.0;1.0;1.0;1.0;49;;;;;;;;;;;;;;;;;;;;;;
50;51.0;396.4;2.8;170.5;1.0;1.0;1.0;1.0;50;;;;;;;;;;;;;;;;;;;;;;
51;52.0;429.0;2.5;170.5;1.0;1.0;1.0;1.0;51;;;;;;;;;;;;;;;;;;;;;;
52;53.0;423.5;1.7;170.5;1.0;1.0;1.0;1.0;52;;;;;;;;;;;;;;;;;;;;;;
53;54.0;454.1;0.1;170.5;1.0;1.0;1.0;1.0;53;;;;;;;;;;;;;;;;;;;;;;
54;55.0;458.6;-1.3;170.5;1.0;1.0;1.0;1.0;54;;;;;;;;;;;;;;;;;;;;;;
55;56.0;457.6;-1.0;170.5;1.0;1.0;1.0;1.0;55;;;;;;;;;;;;;;;;;;;;;;
56;57.0;456.2;-0.3;174.2;1.0;1.0;1.0;1.0;56;;;;;;;;;;;;;;;;;;;;;;
57;58.0;439.5;0.7;183.8;1.0;1.0;1.0;1.0;57;;;;;;;;;;;;;;;;;;;;;;
58;59.0;398.5;1.9;233.6;1.0;1.0;1.0;1.0;58;;;;;;;;;;;;;;;;;;;;;;
59;60.0;340.3;3.3;233.6;1.0;1.0;1.0;1.0;59;;;;;;;;;;;;;;;;;;;;;;
60;61.0;314.7;4.5;233.6;1.0;1.0;1.0;1.0;60;;;;;;;;;;;;;;;;;;;;;;
61;62.0;338.9;5.0;233.6;1.0;1.0;1.0;1.0;61;;;;;;;;;;;;;;;;;;;;;;
62;63.0;408.2;4.9;233.6;1.0;1.0;1.0;1.0;62;;;;;;;;;;;;;;;;;;;;;;
63;64.0;464.5;4.4;186.9;1.0;1.0;1.0;1.0;63;;;;;;;;;;;;;;;;;;;;;;
64;65.0;466.1;4.2;233.6;1.0;1.0;1.0;1.0;64;;;;;;;;;;;;;;;;;;;;;;
65;66.0;462.8;4.5;233.6;1.0;1.0;1.0;1.0;65;;;;;;;;;;;;;;;;;;;;;;
66;67.0;440.8;5.0;233.6;1.0;1.0;1.0;1.0;66;;;;;;;;;;;;;;;;;;;;;;
67;68.0;401.8;5.2;233.6;1.0;1.0;1.0;1.0;67;;;;;;;;;;;;;;;;;;;;;;
68;69.0;393.3;4.8;233.6;1.0;1.0;1.0;1.0;68;;;;;;;;;;;;;;;;;;;;;;
69;70.0;390.1;4.2;186.6;1.0;1.0;1.0;1.0;69;;;;;;;;;;;;;;;;;;;;;;
70;71.0;388.5;3.8;183.4;1.0;1.0;1.0;1.0;70;;;;;;;;;;;;;;;;;;;;;;
71;72.0;363.6;3.4;170.2;1.0;1.0;1.0;1.0;71;;;;;;;;;;;;;;;;;;;;;;
72;73.0;332.0;5.0;172.7;1.0;1.0;1.0;1.0;72;;;;;;;;;;;;;;;;;;;;;;
73;74.0;327.8;5.0;170.1;1.0;1.0;1.0;1.0;73;;;;;;;;;;;;;;;;;;;;;;
74;75.0;331.5;5.1;167.8;1.0;1.0;1.0;1.0;74;;;;;;;;;;;;;;;;;;;;;;
75;76.0;345.1;4.6;167.8;1.0;1.0;1.0;1.0;75;;;;;;;;;;;;;;;;;;;;;;
76;77.0;387.2;4.1;170.1;1.0;1.0;1.0;1.0;76;;;;;;;;;;;;;;;;;;;;;;
77;78.0;403.0;4.7;172.7;1.0;1.0;1.0;1.0;77;;;;;;;;;;;;;;;;;;;;;;
78;79.0;421.2;4.3;186.8;1.0;1.0;1.0;1.0;78;;;;;;;;;;;;;;;;;;;;;;
79;80.0;434.5;4.1;211.4;1.0;1.0;1.0;1.0;79;;;;;;;;;;;;;;;;;;;;;;
80;81.0;430.1;4.2;211.6;1.0;1.0;1.0;1.0;80;;;;;;;;;;;;;;;;;;;;;;
81;82.0;422.0;4.5;232.1;1.0;1.0;1.0;1.0;81;;;;;;;;;;;;;;;;;;;;;;
82;83.0;366.7;5.0;226.3;1.0;1.0;1.0;1.0;82;;;;;;;;;;;;;;;;;;;;;;
83;84.0;336.5;5.7;232.0;1.0;1.0;1.0;1.0;83;;;;;;;;;;;;;;;;;;;;;;
84;85.0;275.0;6.3;232.0;1.0;1.0;1.0;1.0;84;;;;;;;;;;;;;;;;;;;;;;
85;86.0;265.4;6.5;232.9;1.0;1.0;1.0;1.0;85;;;;;;;;;;;;;;;;;;;;;;
86;87.0;280.5;6.5;232.9;1.0;1.0;1.0;1.0;86;;;;;;;;;;;;;;;;;;;;;;
87;88.0;353.8;6.0;232.9;1.0;1.0;1.0;1.0;87;;;;;;;;;;;;;;;;;;;;;;
88;89.0;422.1;5.1;234.5;1.0;1.0;1.0;1.0;88;;;;;;;;;;;;;;;;;;;;;;
89;90.0;447.5;4.4;254.0;1.0;1.0;1.0;1.0;89;;;;;;;;;;;;;;;;;;;;;;
90;91.0;448.6;4.0;267.6;1.0;1.0;1.0;1.0;90;;;;;;;;;;;;;;;;;;;;;;
91;92.0;437.2;3.6;254.0;1.0;1.0;1.0;1.0;91;;;;;;;;;;;;;;;;;;;;;;
92;93.0;434.8;3.2;232.9;1.0;1.0;1.0;1.0;92;;;;;;;;;;;;;;;;;;;;;;
93;94.0;452.1;2.8;211.5;1.0;1.0;1.0;1.0;93;;;;;;;;;;;;;;;;;;;;;;
94;95.0;467.1;2.4;244.1;1.0;1.0;1.0;1.0;94;;;;;;;;;;;;;;;;;;;;;;
95;96.0;454.5;2.1;185.3;1.0;1.0;1.0;1.0;95;;;;;;;;;;;;;;;;;;;;;;
96;97.0;436.0;1.3;181.8;1.0;1.0;1.0;1.0;96;;;;;;;;;;;;;;;;;;;;;;
97;98.0;423.9;0.3;174.4;1.0;1.0;1.0;1.0;97;;;;;;;;;;;;;;;;;;;;;;
98;99.0;420.9;0.7;173.4;1.0;1.0;1.0;1.0;98;;;;;;;;;;;;;;;;;;;;;;
99;100.0;394.3;1.0;173.7;1.0;1.0;1.0;1.0;99;;;;;;;;;;;;;;;;;;;;;;
100;101.0;367.2;1.8;181.8;1.0;1.0;1.0;1.0;100;;;;;;;;;;;;;;;;;;;;;;
101;102.0;370.5;1.6;183.8;1.0;1.0;1.0;1.0;101;;;;;;;;;;;;;;;;;;;;;;
102;103.0;370.4;4.3;244.0;1.0;1.0;1.0;1.0;102;;;;;;;;;;;;;;;;;;;;;;
103;104.0;367.6;4.7;232.1;1.0;1.0;1.0;1.0;103;;;;;;;;;;;;;;;;;;;;;;
104;105.0;359.7;5.0;248.6;1.0;1.0;1.0;1.0;104;;;;;;;;;;;;;;;;;;;;;;
105;106.0;327.3;5.4;327.2;1.0;1.0;1.0;1.0;105;;;;;;;;;;;;;;;;;;;;;;
106;107.0;297.5;6.5;346.0;1.0;1.0;1.0;1.0;106;;;;;;;;;;;;;;;;;;;;;;
107;108.0;274.5;7.9;353.5;1.0;1.0;1.0;1.0;107;;;;;;;;;;;;;;;;;;;;;;
108;109.0;240.5;9.0;353.5;1.0;1.0;1.0;1.0;108;;;;;;;;;;;;;;;;;;;;;;
109;110.0;251.6;9.5;364.3;1.0;1.0;1.0;1.0;109;;;;;;;;;;;;;;;;;;;;;;
110;111.0;275.5;9.4;364.3;1.0;1.0;1.0;1.0;110;;;;;;;;;;;;;;;;;;;;;;
111;112.0;332.3;8.8;364.3;1.0;1.0;1.0;1.0;111;;;;;;;;;;;;;;;;;;;;;;
112;113.0;354.7;7.9;392.4;1.0;1.0;1.0;1.0;112;;;;;;;;;;;;;;;;;;;;;;
113;114.0;351.0;7.5;403.0;1.0;1.0;1.0;1.0;113;;;;;;;;;;;;;;;;;;;;;;
114;115.0;354.5;7.5;392.4;1.0;1.0;1.0;1.0;114;;;;;;;;;;;;;;;;;;;;;;
115;116.0;357.9;7.7;392.4;1.0;1.0;1.0;1.0;115;;;;;;;;;;;;;;;;;;;;;;
116;117.0;385.4;7.4;383.1;1.0;1.0;1.0;1.0;116;;;;;;;;;;;;;;;;;;;;;;
117;118.0;392.5;6.9;339.6;1.0;1.0;1.0;1.0;117;;;;;;;;;;;;;;;;;;;;;;
118;119.0;385.0;6.6;316.1;1.0;1.0;1.0;1.0;118;;;;;;;;;;;;;;;;;;;;;;
119;120.0;369.2;6.3;247.8;1.0;1.0;1.0;1.0;119;;;;;;;;;;;;;;;;;;;;;;
120;121.0;358.3;4.1;185.1;1.0;1.0;1.0;1.0;120;;;;;;;;;;;;;;;;;;;;;;
121;122.0;352.2;4.3;182.2;1.0;1.0;1.0;1.0;121;;;;;;;;;;;;;;;;;;;;;;
122;123.0;349.4;4.7;182.2;1.0;1.0;1.0;1.0;122;;;;;;;;;;;;;;;;;;;;;;
123;124.0;350.1;4.3;182.2;1.0;1.0;1.0;1.0;123;;;;;;;;;;;;;;;;;;;;;;
124;125.0;351.9;3.7;182.2;1.0;1.0;1.0;1.0;124;;;;;;;;;;;;;;;;;;;;;;
125;126.0;349.6;4.1;182.2;1.0;1.0;1.0;1.0;125;;;;;;;;;;;;;;;;;;;;;;
126;127.0;357.9;4.2;182.2;1.0;1.0;1.0;1.0;126;;;;;;;;;;;;;;;;;;;;;;
127;128.0;357.9;4.4;182.2;1.0;1.0;1.0;1.0;127;;;;;;;;;;;;;;;;;;;;;;
128;129.0;358.8;4.8;182.2;1.0;1.0;1.0;1.0;128;;;;;;;;;;;;;;;;;;;;;;
129;130.0;353.3;5.6;182.2;1.0;1.0;1.0;1.0;129;;;;;;;;;;;;;;;;;;;;;;
130;131.0;343.0;6.8;185.1;1.0;1.0;1.0;1.0;130;;;;;;;;;;;;;;;;;;;;;;
131;132.0;310.8;8.1;187.1;1.0;1.0;1.0;1.0;131;;;;;;;;;;;;;;;;;;;;;;
132;133.0;288.5;9.2;187.1;1.0;1.0;1.0;1.0;132;;;;;;;;;;;;;;;;;;;;;;
133;134.0;270.6;9.7;194.1;1.0;1.0;1.0;1.0;133;;;;;;;;;;;;;;;;;;;;;;
134;135.0;270.2;9.7;194.1;1.0;1.0;1.0;1.0;134;;;;;;;;;;;;;;;;;;;;;;
135;136.0;286.0;9.1;196.6;1.0;1.0;1.0;1.0;135;;;;;;;;;;;;;;;;;;;;;;
136;137.0;286.6;8.2;249.6;1.0;1.0;1.0;1.0;136;;;;;;;;;;;;;;;;;;;;;;
137;138.0;293.4;7.8;249.6;1.0;1.0;1.0;1.0;137;;;;;;;;;;;;;;;;;;;;;;
138;139.0;290.6;7.4;249.6;1.0;1.0;1.0;1.0;138;;;;;;;;;;;;;;;;;;;;;;
139;140.0;310.4;6.9;249.6;1.0;1.0;1.0;1.0;139;;;;;;;;;;;;;;;;;;;;;;
140;141.0;361.9;6.5;249.6;1.0;1.0;1.0;1.0;140;;;;;;;;;;;;;;;;;;;;;;
141;142.0;353.0;6.3;203.2;1.0;1.0;1.0;1.0;141;;;;;;;;;;;;;;;;;;;;;;
142;143.0;343.0;6.0;187.1;1.0;1.0;1.0;1.0;142;;;;;;;;;;;;;;;;;;;;;;
143;144.0;329.9;6.0;182.4;1.0;1.0;1.0;1.0;143;;;;;;;;;;;;;;;;;;;;;;
144;145.0;315.4;6.2;184.8;1.0;1.0;1.0;1.0;144;;;;;;;;;;;;;;;;;;;;;;
145;146.0;313.4;5.6;183.5;1.0;1.0;1.0;1.0;145;;;;;;;;;;;;;;;;;;;;;;
146;147.0;327.3;5.7;182.1;1.0;1.0;1.0;1.0;146;;;;;;;;;;;;;;;;;;;;;;
147;148.0;333.4;5.3;182.1;1.0;1.0;1.0;1.0;147;;;;;;;;;;;;;;;;;;;;;;
148;149.0;332.8;5.4;183.5;1.0;1.0;1.0;1.0;148;;;;;;;;;;;;;;;;;;;;;;
149;150.0;334.5;5.6;184.8;1.0;1.0;1.0;1.0;149;;;;;;;;;;;;;;;;;;;;;;
150;151.0;334.0;5.8;229.8;1.0;1.0;1.0;1.0;150;;;;;;;;;;;;;;;;;;;;;;
151;152.0;334.2;5.7;222.3;1.0;1.0;1.0;1.0;151;;;;;;;;;;;;;;;;;;;;;;
152;153.0;345.0;5.8;248.6;1.0;1.0;1.0;1.0;152;;;;;;;;;;;;;;;;;;;;;;
153;154.0;348.2;5.9;240.9;1.0;1.0;1.0;1.0;153;;;;;;;;;;;;;;;;;;;;;;
154;155.0;346.4;5.8;241.0;1.0;1.0;1.0;1.0;154;;;;;;;;;;;;;;;;;;;;;;
155;156.0;346.8;5.8;293.3;1.0;1.0;1.0;1.0;155;;;;;;;;;;;;;;;;;;;;;;
156;157.0;357.5;5.7;293.3;1.0;1.0;1.0;1.0;156;;;;;;;;;;;;;;;;;;;;;;
157;158.0;368.3;5.3;293.3;1.0;1.0;1.0;1.0;157;;;;;;;;;;;;;;;;;;;;;;
158;159.0;377.2;5.1;293.3;1.0;1.0;1.0;1.0;158;;;;;;;;;;;;;;;;;;;;;;
159;160.0;427.7;4.7;293.3;1.0;1.0;1.0;1.0;159;;;;;;;;;;;;;;;;;;;;;;
160;161.0;448.4;4.0;293.3;1.0;1.0;1.0;1.0;160;;;;;;;;;;;;;;;;;;;;;;
161;162.0;455.5;3.8;293.3;1.0;1.0;1.0;1.0;161;;;;;;;;;;;;;;;;;;;;;;
162;163.0;457.9;3.7;293.3;1.0;1.0;1.0;1.0;162;;;;;;;;;;;;;;;;;;;;;;
163;164.0;395.3;3.4;293.3;1.0;1.0;1.0;1.0;163;;;;;;;;;;;;;;;;;;;;;;
164;165.0;445.0;3.2;293.3;1.0;1.0;1.0;1.0;164;;;;;;;;;;;;;;;;;;;;;;
165;166.0;418.6;3.0;211.6;1.0;1.0;1.0;1.0;165;;;;;;;;;;;;;;;;;;;;;;
166;167.0;404.4;2.7;247.6;1.0;1.0;1.0;1.0;166;;;;;;;;;;;;;;;;;;;;;;
167;168.0;485.2;2.5;187.1;1.0;1.0;1.0;1.0;167;;;;;;;;;;;;;;;;;;;;;;
168;169.0;424.8;0.7;185.2;1.0;1.0;1.0;1.0;168;;;;;;;;;;;;;;;;;;;;;;
169;170.0;410.6;0.6;184.7;1.0;1.0;1.0;1.0;169;;;;;;;;;;;;;;;;;;;;;;
170;171.0;403.5;0.5;183.5;1.0;1.0;1.0;1.0;170;;;;;;;;;;;;;;;;;;;;;;
171;172.0;481.8;0.4;183.5;1.0;1.0;1.0;1.0;171;;;;;;;;;;;;;;;;;;;;;;
172;173.0;478.3;0.4;184.5;1.0;1.0;1.0;1.0;172;;;;;;;;;;;;;;;;;;;;;;
173;174.0;462.0;0.4;185.2;1.0;1.0;1.0;1.0;173;;;;;;;;;;;;;;;;;;;;;;
174;175.0;463.5;0.4;229.8;1.0;1.0;1.0;1.0;174;;;;;;;;;;;;;;;;;;;;;;
175;176.0;461.9;0.2;231.8;1.0;1.0;1.0;1.0;175;;;;;;;;;;;;;;;;;;;;;;
176;177.0;465.4;0.2;240.9;1.0;1.0;1.0;1.0;176;;;;;;;;;;;;;;;;;;;;;;
177;178.0;465.2;0.2;240.9;1.0;1.0;1.0;1.0;177;;;;;;;;;;;;;;;;;;;;;;
178;179.0;466.7;0.1;240.9;1.0;1.0;1.0;1.0;178;;;;;;;;;;;;;;;;;;;;;;
179;180.0;465.0;0.2;240.9;1.0;1.0;1.0;1.0;179;;;;;;;;;;;;;;;;;;;;;;
180;181.0;465.3;0.4;240.9;1.0;1.0;1.0;1.0;180;;;;;;;;;;;;;;;;;;;;;;
181;182.0;462.3;0.6;240.9;1.0;1.0;1.0;1.0;181;;;;;;;;;;;;;;;;;;;;;;
182;183.0;468.1;0.7;240.9;1.0;1.0;1.0;1.0;182;;;;;;;;;;;;;;;;;;;;;;
183;184.0;474.9;0.5;232.0;1.0;1.0;1.0;1.0;183;;;;;;;;;;;;;;;;;;;;;;
184;185.0;422.6;0.3;240.9;1.0;1.0;1.0;1.0;184;;;;;;;;;;;;;;;;;;;;;;
185;186.0;462.0;0.4;246.7;1.0;1.0;1.0;1.0;185;;;;;;;;;;;;;;;;;;;;;;
186;187.0;462.6;0.4;267.6;1.0;1.0;1.0;1.0;186;;;;;;;;;;;;;;;;;;;;;;
187;188.0;466.4;0.1;254.0;1.0;1.0;1.0;1.0;187;;;;;;;;;;;;;;;;;;;;;;
188;189.0;462.5;0.2;240.9;1.0;1.0;1.0;1.0;188;;;;;;;;;;;;;;;;;;;;;;
189;190.0;454.3;0.2;211.4;1.0;1.0;1.0;1.0;189;;;;;;;;;;;;;;;;;;;;;;
190;191.0;455.2;-0.1;245.7;1.0;1.0;1.0;1.0;190;;;;;;;;;;;;;;;;;;;;;;
