j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1.0;320.3;5.2;172.0;1.0;1.0;1.0;1.0;21688.788;320.3;286.65;264.542;2922.53;44.31;-0.0;139.0;139.0;2.01;2.01;34.65;120.0;66.0;66.0;264.542;1208.39;857.07;857.07;0;0;0;0
2.0;303.7;4.5;159.5;1.0;1.0;1.0;1.0;16817.704;303.7;283.767;305.94;2794.909;50.85;32.431;139.0;141.419;60;62.01;45.453;105.0;66.0;67.314;305.94;1066.858;857.07;870.98;0;0;0;0
3.0;321.7;3.8;145.0;1.0;1.0;1.0;1.0;14776.763;321.7;282.453;305.94;2798.551;50.85;52.85;139.0;139.0;60;122.01;45.453;105.0;66.0;66.0;305.94;1084.411;857.07;857.07;0;0;0;0
4.0;354.0;3.0;129.0;1.0;1.0;1.0;1.0;14228.71;354.0;249.453;305.941;2604.84;50.85;85.15;139.0;139.0;60;182.01;45.453;72.0;66.0;66.0;305.941;890.7;857.07;857.07;0;0;0;0
5.0;401.9;1.4;129.0;1.0;1.0;1.0;1.0;18703.529;401.9;253.598;305.94;2714.782;50.85;133.05;139.0;139.0;60;242.01;45.453;76.144;66.0;66.0;305.94;1000.642;857.07;857.07;0;0;0;0
6.0;431.5;0.8;129.0;1.0;1.0;1.0;1.0;20955.968;431.5;270.973;305.94;2899.251;50.85;162.65;139.0;139.0;60;302.01;45.453;93.52;66.0;66.0;305.94;1185.111;857.07;857.07;0;0;0;0
7.0;427.0;0.2;129.0;1.0;1.0;1.0;1.0;20613.574;427.0;268.331;305.941;2871.205;50.85;158.15;139.0;139.0;60;362.01;45.453;90.878;66.0;66.0;305.941;1157.065;857.07;857.07;0;0;0;0
8.0;414.9;0.8;129.0;1.0;1.0;1.0;1.0;22400.727;414.9;249.453;305.94;2592.579;50.85;77.557;139.0;139.0;-8.493;353.517;45.453;72.0;66.0;66.0;305.94;878.439;857.07;857.07;0;0;0;0
9.0;412.3;1.6;129.0;1.0;1.0;1.0;1.0;22150.055;412.3;249.453;305.941;2588.381;50.85;74.957;139.0;139.0;-8.493;345.025;45.453;72.0;66.0;66.0;305.941;874.241;857.07;857.07;0;0;0;0
10.0;414.8;2.9;159.5;1.0;1.0;1.0;1.0;30061.844;414.8;294.714;305.941;2936.485;50.85;62.337;139.0;161.57;-1.043;343.982;45.453;105.0;66.0;78.26;305.941;1092.566;857.07;986.848;0;0;0;0
11.0;385.5;4.4;162.9;1.0;1.0;1.0;1.0;28062.536;385.5;282.453;305.94;2801.635;50.85;56.437;139.0;139.0;-0.213;343.769;45.453;105.0;66.0;66.0;305.94;1087.495;857.07;857.07;0;0;0;0
12.0;350.8;5.7;173.0;1.0;1.0;1.0;1.0;27769.732;350.8;253.02;0.0;2961.858;-0.0;45.564;145.551;161.94;2.254;346.023;0.0;105.0;69.558;78.461;0.0;1078.148;894.737;988.973;0;0;0;0
13.0;347.7;6.7;174.2;1.0;1.0;1.0;1.0;27929.71;347.7;237.0;0.0;2815.226;-0.0;72.247;139.0;139.0;2.547;348.57;0.0;105.0;66.0;66.0;0.0;1101.085;857.07;857.07;0;0;0;0
14.0;279.3;7.2;182.4;1.0;1.0;1.0;1.0;21365.141;279.3;255.178;0.0;2956.168;-0.0;0.0;139.0;144.85;4.55;353.12;-0.0;120.0;66.0;69.178;0.0;1208.39;857.07;890.708;0;0;0;0
15.0;295.2;7.2;182.5;1.0;1.0;1.0;1.0;23953.56;295.2;263.827;0.0;3008.219;-0.0;0.001;139.001;160.773;4.574;357.695;-0.0;120.0;66.0;77.827;0.0;1168.882;857.073;982.264;0;0;0;0
