j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1.0;490.0;-1.7;151.9;1.0;1.0;1.0;1.0;30346.721;490.0;335.664;305.94;3584.158;50.85;169.968;169.182;220.0;120;120;45.453;97.815;82.395;110.0;305.94;1230.72;1030.618;1322.82;0;0;0;0
2.0;478.7;-2.6;162.9;1.0;1.0;1.0;1.0;33725.335;478.7;311.694;0.0;3811.571;-0.0;169.968;208.732;220.0;120;240;-0.0;97.815;103.879;110.0;0.0;1230.72;1258.03;1322.82;0;0;0;0
3.0;476.9;-2.8;177.1;1.0;1.0;1.0;1.0;38079.616;476.9;320.288;0.0;3876.938;-0.0;156.9;220.0;220.0;120;360;0.0;100.288;110.0;110.0;0.0;1231.298;1322.82;1322.82;0;0;0;0
4.0;480.0;-3.2;157.4;1.0;1.0;1.0;1.0;32135.688;480.0;312.4;0.0;3819.046;0.0;169.968;210.032;220.0;120;480;-0.0;97.815;104.585;110.0;0.0;1230.72;1265.505;1322.82;0;0;0;0
5.0;311.3;-3.7;123.4;1.0;1.0;1.0;1.0;17652.621;311.3;167.158;0.0;2088.637;-0.0;152.3;-0.0;139.0;-20;460;-0.0;101.158;0.0;66.0;0.0;1231.567;0.0;857.07;0;0;0;0
6.0;297.0;-4.1;140.6;1.0;1.0;1.0;1.0;19027.372;297.0;169.863;0.0;2089.684;0.0;138.0;0.0;139.0;-20;440;0.0;103.863;-0.0;66.0;0.0;1232.614;0.0;857.07;0;0;0;0
7.0;313.4;-4.5;125.5;1.0;1.0;1.0;1.0;18229.436;313.4;166.761;0.0;2088.51;0.0;154.4;0.0;139.0;-20;420;-0.0;100.761;0.0;66.0;0.0;1231.44;0.0;857.07;0;0;0;0
8.0;345.4;-4.7;136.7;1.0;1.0;1.0;1.0;11124.393;345.4;172.741;0.0;2182.276;0.0;169.968;0.0;155.432;-20;400;-0.0;97.815;-0.0;74.926;0.0;1230.72;0.0;951.555;0;0;12000;0
9.0;399.1;-3.8;117.1;1.0;1.0;1.0;1.0;6712.995;399.1;201.912;0.0;2491.051;-0.0;169.968;0.0;209.132;-20;380;0.0;97.815;-0.0;104.097;0.0;1230.72;0.0;1260.33;5000;0;12000;0
10.0;424.8;-2.5;154.8;1.0;1.0;1.0;1.0;20805.237;424.8;233.703;305.941;2346.438;50.85;169.968;0.0;183.982;-20;360;45.453;97.815;0.0;90.435;305.941;1230.72;0.0;1115.718;0;0;12000;0
11.0;423.3;-0.6;168.7;1.0;1.0;1.0;1.0;31658.612;423.3;309.414;0.0;3633.102;-0.0;131.993;191.307;220.0;120;480;-0.0;105.0;94.414;110.0;0.0;1152.444;1157.838;1322.82;0;0;0;0
12.0;406.8;1.1;160.7;1.0;1.0;1.0;1.0;28268.584;406.8;206.094;0.0;2535.326;-0.0;169.968;-0.0;216.832;-20;460;0.0;97.815;0.0;108.279;0.0;1230.72;0.0;1304.605;5000;0;0;0
13.0;405.5;2.6;164.2;1.0;1.0;1.0;1.0;34733.14;405.5;251.033;305.941;2375.544;50.85;131.993;0.0;202.657;-20;440;45.453;105.0;0.0;100.579;305.941;1152.444;0.0;1223.1;0;0;0;0
14.0;410.0;3.5;162.5;1.0;1.0;1.0;1.0;34750.407;410.0;253.477;305.941;2401.419;50.85;131.993;-0.0;207.157;-20;420;45.453;105.0;0.0;103.024;305.941;1152.444;0.0;1248.975;0;0;0;0
15.0;381.8;4.0;204.2;1.0;1.0;1.0;1.0;41706.358;381.8;267.795;305.94;2539.488;50.85;90.95;-0.0;220.0;-20;400;45.453;112.342;0.0;110.0;305.94;1216.668;0.0;1322.82;0;0;0;0
16.0;347.6;3.2;180.6;1.0;1.0;1.0;1.0;33055.859;347.6;201.75;0.0;2335.007;0.0;131.993;0.0;195.607;-20;380;-0.0;105.0;0.0;96.75;0.0;1152.444;0.0;1182.563;0;0;0;0
17.0;340.3;2.2;178.4;1.0;1.0;1.0;1.0;26828.657;340.3;197.784;0.0;2293.032;-0.0;131.993;0.0;188.307;-20;360;-0.0;105.0;-0.0;92.784;0.0;1152.444;0.0;1140.588;5000;0;0;0
18.0;274.0;1.9;213.1;1.0;1.0;1.0;1.0;29885.563;274.0;262.126;305.94;2490.551;50.85;123.15;0.0;220.0;120;480;45.453;106.673;0.0;110.0;305.94;1167.731;0.0;1322.82;0;0;0;0
19.0;291.4;2.1;196.6;1.0;1.0;1.0;1.0;30391.94;291.4;275.407;305.94;2492.547;50.85;0.55;0.0;220.0;-20;460;45.453;119.954;0.0;110.0;305.94;1169.727;0.0;1322.82;0;0;0;0
20.0;335.4;2.3;193.4;1.0;1.0;1.0;1.0;33721.657;335.4;221.923;0.0;2538.477;0.0;95.4;0.0;220.0;-20;440;0.0;111.923;-0.0;110.0;0.0;1215.657;0.0;1322.82;0;0;0;0
